
Room Setting Templates: default, cc-inside, cc-outside, cl-darksun, cl-pitchblack, dm-conflux, dm-itterator, dm-leg, dm-underhang, dm-wall, ds-inside, gw-inside, gw-outside, hi-inside, hi-outside, hr-end, hr-hell, hr-hellnew, hr-hellupper, lc-inside, lc-outside, lc-tower, lf-farms, lf-underground, lm-fog, lm-itterator, lm-leg, lm-sewer, lm-wall, ms-aerie, ms-array, ms-artery, ms-comp, ms-deep, ms-mech, ms-sewers, ms-surface, ms-vents, oe-cave, oe-ruins, oe-ruinsinside, oe-swamp, rm-amnesia, rm-corrupt, rm-dead, rm-linear, rm-lympathic, sb-subway, sh-darksun, sh-pitchblack, si-inside, si-outside, sl-fog, sl-sewer, ss-corrupt, su-inside, su-outside, ug-inside, uw-leg, uw-underhang, uw-wall, vs-filter, vs-pipes, vs-sewer, vs-surface, warc-cistern, warc-glassfields, warc-roottunnels, wbla-badlandssurface, wdsr-rot, wgwr-rot, whir-rot, wpta-spireinside, wpta-spireoutside, wrra-inside, wrra-insideship, wrra-outside, wrra-outsideship, wskb-inside, wskb-outside, wskc-inside, wskc-outside, wskd-inside, wskd-outside, wssr-calcified, wsur-rot, wtda-desert, wtdb-tract, wvwa-pillars, wvwa-waterways
Subregion: Outskirts
Room_Attr: 100K_CC_rostik630uwu_1: MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_steellesstoaster_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Avoid,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_steellesstoaster_2: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_tronsx_1: GreenLizard-Avoid,YellowLizard-Avoid,Scavenger-Forbidden,MirosBird-Forbidden,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_zenodos_1: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CL_tankium_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,LanternMouse-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DM_fatalerror404_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DM_gonterhaoz_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,AquaCenti-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_addystrawbry_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_alduris_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_alduris_2: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,Barnacle-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_aprilistheworstmonth_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,Barnacle-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_aprilistheworstmonth_2: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_dragonpropaganda_1: GreenLizard-Forbidden,Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_haysen_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_iyonkoi_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_luckykitkat_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,Barnacle-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_luniular_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_lwrcsv_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,Barnacle-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_maxthelord_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_overpoweredpizza_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,RedLizard-Like,Salamander-Stay,Snail-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_rolingp3_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,Barnacle-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_slithersss_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_solaristheworstcatever_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_tapok109_1: Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_therealflarf_1: Salamander-Like,Snail-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_tnthalflife32_1: Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,Barnacle-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_tryn1010_1: Salamander-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,Barnacle-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_user23848_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,Barnacle-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_DS_zenodos_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,RedLizard-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,Barnacle-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_alduris_1: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_damoonlord_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_detrax_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Like,Snail-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,AquaCenti-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_haysen_1: Scavenger-Like,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_january_1: Salamander-Avoid,Scavenger-Like,MirosBird-Forbidden,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,HunterDaddy-Avoid,TerrorLongLegs-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_milksmansrevenge_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Forbidden,Snail-Forbidden,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_rolingp3_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Avoid,Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_slithersss_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_solaristheworstcatever_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Avoid,TerrorLongLegs-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_tapok109_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,RedLizard-Like,Salamander-Forbidden,Scavenger-Like,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,HunterDaddy-Avoid,TerrorLongLegs-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
